erro,potencia esquerda,potencia direita
27.900000000000002,-197.9,-142.1
18.6,-188.6,-151.4
18.6,-188.6,-151.4
18.6,-188.6,-151.4
18.6,-188.6,-151.4
27.900000000000002,-197.9,-142.1
27.900000000000002,-197.9,-142.1
27.900000000000002,-197.9,-142.1
18.6,-188.6,-151.4
9.3,-179.3,-160.7
9.3,-179.3,-160.7
9.3,-179.3,-160.7
9.3,-179.3,-160.7
27.900000000000002,-197.9,-142.1
27.900000000000002,-197.9,-142.1
27.900000000000002,-197.9,-142.1
37.2,-207.2,-132.8
37.2,-207.2,-132.8
46.5,-216.5,-123.5
46.5,-216.5,-123.5
46.5,-216.5,-123.5
46.5,-216.5,-123.5
46.5,-216.5,-123.5
46.5,-216.5,-123.5
46.5,-216.5,-123.5
37.2,-207.2,-132.8
27.900000000000002,-197.9,-142.1
18.6,-188.6,-151.4
27.900000000000002,-197.9,-142.1
37.2,-207.2,-132.8
27.900000000000002,-197.9,-142.1
27.900000000000002,-197.9,-142.1
37.2,-207.2,-132.8
37.2,-207.2,-132.8
37.2,-207.2,-132.8
46.5,-216.5,-123.5
27.900000000000002,-197.9,-142.1
37.2,-207.2,-132.8
37.2,-207.2,-132.8
46.5,-216.5,-123.5
37.2,-207.2,-132.8
27.900000000000002,-197.9,-142.1
27.900000000000002,-197.9,-142.1
27.900000000000002,-197.9,-142.1
18.6,-188.6,-151.4
27.900000000000002,-197.9,-142.1
37.2,-207.2,-132.8
27.900000000000002,-197.9,-142.1
27.900000000000002,-197.9,-142.1
27.900000000000002,-197.9,-142.1
9.3,-179.3,-160.7
0.0,-170.0,-170.0
-9.3,-160.7,-179.3
-9.3,-160.7,-179.3
-9.3,-160.7,-179.3
-9.3,-160.7,-179.3
-18.6,-151.4,-188.6
-18.6,-151.4,-188.6
-18.6,-151.4,-188.6
-18.6,-151.4,-188.6
-18.6,-151.4,-188.6
-18.6,-151.4,-188.6
-18.6,-151.4,-188.6
-18.6,-151.4,-188.6
-9.3,-160.7,-179.3
-9.3,-160.7,-179.3
-18.6,-151.4,-188.6
-18.6,-151.4,-188.6
-18.6,-151.4,-188.6
-18.6,-151.4,-188.6
-37.2,-132.8,-207.2
-55.800000000000004,-114.19999999999999,-225.8
-74.4,-95.6,-244.4
-93.0,-77.0,-263.0
-148.8,-21.19999999999999,-318.8
-223.20000000000002,53.20000000000002,-393.20000000000005
-297.6,127.60000000000002,-467.6
-372.0,202.0,-542.0
-418.50000000000006,248.50000000000006,-588.5
-465.00000000000006,295.00000000000006,-635.0
-511.50000000000006,341.50000000000006,-681.5
-548.7,378.70000000000005,-718.7
-539.4000000000001,369.4000000000001,-709.4000000000001
-483.6,313.6,-653.6
-502.20000000000005,332.20000000000005,-672.2
-520.8000000000001,350.80000000000007,-690.8000000000001
-548.7,378.70000000000005,-718.7
-539.4000000000001,369.4000000000001,-709.4000000000001
-548.7,378.70000000000005,-718.7
-585.9000000000001,415.9000000000001,-755.9000000000001
-613.8000000000001,443.80000000000007,-783.8000000000001
-641.7,471.70000000000005,-811.7
-604.5,434.5,-774.5
-539.4000000000001,369.4000000000001,-709.4000000000001
-455.70000000000005,285.70000000000005,-625.7
-483.6,313.6,-653.6
-474.3,304.3,-644.3
-483.6,313.6,-653.6
-399.90000000000003,229.90000000000003,-569.9000000000001
-251.10000000000002,81.10000000000002,-421.1
-232.50000000000003,62.50000000000003,-402.5
